City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,ellsworth,44.5434,-68.4195,279.18,95,0,1.34,US,1715317944
312,sittwe,20.15,92.9,304.24,54,29,4.87,MM,1715317944
313,garbahaarrey,3.3289,42.2209,299.99,72,99,6.22,SO,1715317944
314,monchegorsk,67.9397,32.8739,270.97,80,100,5.41,RU,1715317945
315,peace river,56.2501,-117.286,290.32,33,40,4.12,CA,1715317945
316,st. john's,47.5649,-52.7093,275.81,93,100,1.79,CA,1715317807
317,kisangani,0.5167,25.2,295.43,98,100,0.88,CD,1715317946
318,bontoc,17.0899,120.978,297.69,83,65,0.71,PH,1715317946
319,tawau,4.2498,117.8871,302.13,71,16,1.44,MY,1715317946
320,sechura,-5.5569,-80.8222,294.41,77,100,7.2,PE,1715317947
321,yacuiba,-22.038,-63.6797,285.08,92,69,1.47,BO,1715317947
322,tokar,18.4254,37.729,302.41,65,64,5.34,SD,1715317948
323,kerikeri,-35.2268,173.9474,286.99,65,1,3.13,NZ,1715317801
324,ilovlya,49.3033,43.9796,281.76,37,61,1.38,RU,1715317948
325,san jose,37.3394,-121.895,292.75,58,0,2.06,US,1715317949
326,lionel town,17.8101,-77.2406,299.76,86,79,1.94,JM,1715317949
327,lamu,-2.2717,40.902,299.74,85,91,7.34,KE,1715317949
328,mana,5.6592,-53.7767,298.69,90,100,4.27,GF,1715317950
329,barysaw,54.2312,28.5049,281.31,80,99,5.0,BY,1715317950
330,strelka,58.0728,93.0344,285.2,46,100,4.35,RU,1715317950
331,masterton,-40.9597,175.6575,283.64,60,69,4.53,NZ,1715317954
332,happy valley-goose bay,53.3168,-60.3315,274.32,80,75,2.57,CA,1715317954
333,puerto leguizamo,-0.1934,-74.7819,295.13,99,99,1.49,CO,1715317955
334,amble,55.3333,-1.5833,285.57,93,75,1.54,GB,1715317955
335,putina,-15.4667,-69.4333,280.1,85,4,2.39,PE,1715317955
336,argostolion,38.1811,20.489,291.34,53,100,2.23,GR,1715317956
337,bezhetsk,57.7851,36.6965,276.93,56,72,6.05,RU,1715317956
338,saldanha,-33.0117,17.9442,288.03,83,46,7.67,ZA,1715317956
339,ribeira brava,32.65,-17.0667,292.5,78,21,1.31,PT,1715317957
340,kitee,62.1,30.15,275.69,59,78,2.17,FI,1715317957
341,labasa,-16.4167,179.3833,297.07,64,32,4.05,FJ,1715317958
342,constantia,44.1833,28.65,287.43,73,19,7.23,RO,1715317771
343,chopda,21.25,75.3,308.79,34,0,4.71,IN,1715317958
344,lodwar,3.1191,35.5973,300.16,65,92,6.77,KE,1715317958
345,beloyarskiy,63.7119,66.6722,273.71,99,50,3.58,RU,1715317959
346,saudarkrokur,65.7461,-19.6394,277.34,60,96,0.61,IS,1715317916
347,muroto-misakicho,33.2833,134.15,291.34,48,0,2.13,JP,1715317960
348,lake city,30.1897,-82.6393,294.15,99,100,0.0,US,1715317960
349,catriel,-37.8791,-67.7956,282.29,51,34,3.98,AR,1715317960
350,ghanzi,-21.5667,21.7833,286.33,33,0,3.96,BW,1715317962
351,arkhangel'sk,64.5401,40.5433,271.21,93,100,4.0,RU,1715317962
352,vila velha,-20.3297,-40.2925,297.12,97,0,1.34,BR,1715317962
353,el nido,11.1858,119.3956,304.85,64,25,5.45,PH,1715317963
354,chikwawa,-16.0335,34.8009,297.52,78,1,0.3,MW,1715317963
355,misantla,19.9333,-96.8333,305.26,26,78,3.04,MX,1715317963
356,maryville,35.7565,-83.9705,293.26,93,40,2.06,US,1715317964
357,rye,40.9807,-73.6837,287.72,79,75,5.66,US,1715317964
358,kirakat,25.6333,82.9167,305.19,29,0,4.14,IN,1715317964
359,buurhakaba,2.8026,44.0781,299.63,77,90,6.93,SO,1715317965
360,aracati,-4.5617,-37.7697,297.41,92,99,3.19,BR,1715317965
361,pimentel,-6.8367,-79.9342,292.31,82,0,7.72,PE,1715317965
362,wabag,-5.4781,143.7021,290.32,98,99,1.36,PG,1715317966
363,naze,28.3667,129.4833,294.3,51,100,4.17,JP,1715317935
364,haiku-pauwela,20.9219,-156.3051,295.49,92,75,6.17,US,1715317850
